d_pi_w,e_pi_w,de_pi_w,L_Alk,B1_Alk,B5_Alk,L_Ar,B1_Ar,B5_Ar
3.54,-10.24,-36.2496,4.36,2.92,3.35,6.38,1.77,3.15
3.54,-10.24,-36.2496,4.35,2.09,3.34,6.38,1.77,3.15
3.54,-10.24,-36.2496,4.38,1.73,3.33,6.38,1.77,3.15
3.54,-10.24,-36.2496,3.08,1.7,2.2,6.38,1.77,3.15
3.49,-11.88,-41.461200000000005,3.08,1.7,2.2,6.38,1.88,4.52
3.51,-11.78,-41.34779999999999,3.08,1.7,2.2,6.63,1.83,4.41
3.4815594028288417,-13.154059717115834,-45.79664029349672,3.08,1.7,2.2,7.23,1.82,4.64
3.5,-10.96912398547927,-38.39193394917744,3.08,1.7,2.2,6.38,1.77,4.71
3.56,-13.94,-49.6264,3.08,1.7,2.2,7.42,1.93,4.55
3.455768880044273,-15.6206824172485,-53.98146818258211,3.08,1.7,2.2,6.41,1.77,5.62
3.54,-14.3,-50.622,3.08,1.7,2.2,8.54,2.1,4.04
3.6330397915280126,-13.062458574629048,-47.456431776813616,3.08,1.7,2.2,8.58,1.7,6.54
3.7217216775640085,-10.046906169522513,-37.391788483563516,3.08,1.7,2.2,8.42,2.16,4.87
3.6748737951867585,-11.044771180666883,-40.588140185666646,3.08,1.7,2.2,8.57,1.7,4.54
3.7217216775640085,-10.046906169522513,-37.391788483563516,4.35,2.09,3.34,8.42,2.16,4.87
3.6748737951867585,-11.044771180666883,-40.588140185666646,4.35,2.09,3.34,8.57,1.7,4.54
3.46,-9.97,-34.4962,4.36,2.92,3.35,6.38,1.77,3.15
3.46,-9.97,-34.4962,4.35,2.09,3.34,6.38,1.77,3.15
3.46,-9.97,-34.4962,4.38,1.73,3.33,6.38,1.77,3.15
3.46,-9.97,-34.4962,3.08,1.7,2.2,6.38,1.77,3.15
3.348330730736164,-14.829123985479272,-49.65281155047698,3.08,1.7,2.2,6.41,1.77,5.62
3.3677578443966074,-14.30076235466913,-48.16150460078866,3.08,1.7,2.2,8.53,1.77,4.27
3.46,-14.3881714814985,-49.78307332598481,3.08,1.7,2.2,8.54,2.1,4.04
3.432545711650896,-13.924894435898933,-47.79783668113631,3.08,1.7,2.2,8.58,1.7,6.54
3.494291905406759,-11.748352675627848,-41.052173656310224,3.08,1.7,2.2,8.42,2.16,4.87
3.513295330506017,-11.736526622111054,-41.233884177822326,3.08,1.7,2.2,8.57,1.7,4.54
3.494291905406759,-11.748352675627848,-41.052173656310224,4.35,2.09,3.34,8.42,2.16,4.87
3.513295330506017,-11.736526622111054,-41.233884177822326,4.35,2.09,3.34,8.57,1.7,4.54
